APPLICATION,DEVICECODE,METERNUMBER,REGISTERNUM,BUILTCONFIG,INSTALLCONFIG,BILLEDFLAG,REGISTERCONFIG,SERIALNUMBER,OTHERDEVICECODE1,OTHERDEVICEID1,OTHERDEVICEMARRY1,OTHERDEVICECODE2,OTHERDEVICEID2,OTHERDEVICEMARRY2,METERMAKE,METERSIZE,METERKIND,METERMODEL,DIALS,DEADZEROES,READTYPE,TESTCIRCLE,AMPS,VOLTS,FLEXFIELD1,FLEXFIELD2,FLEXFIELD3,INITIALINSTALLDATE,CURRENTINSTALLDATE,MULTIPLIER,CTNUMBER,VTNUMBER,PONUMBER,PODATE,PURCHASECOST,RETIREDATE,ASSETTAXDISTRICT,BIDIRECTIONALFLAG,PRIVATELYOWNED,COMMENTS,BATTERYDATE,AMIFLAG,AMITYPE,IPADDRESS,PROBEMETERID,PROBEMETERPASSWORD,PROBEMETERNAME,UPDATEDATE
5,0,"14Y503455",1,501,501,"Y",1,"14Y503455",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2016-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"2443289",1,501,501,"Y",1,"2443289",,,,,,,2,12,3,175,5,2,1,,,,12,12,0,"2024-01-01",,1,,,,"2024-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y452030",1,501,501,"Y",1,"14Y452030",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2017-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E646177",1,501,501,"Y",1,"16E646177",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2016-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E650064",1,501,501,"Y",1,"16E650064",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2017-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E650028",1,501,501,"Y",1,"16E650028",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2017-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E646086",1,501,501,"Y",1,"16E646086",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2018-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"17H331688",1,501,501,"Y",1,"17H331688",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2018-01-01",,1,,,,"2017-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"17H331687",1,501,501,"Y",1,"17H331687",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2018-01-01",,1,,,,"2017-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"18J606842",1,501,501,"Y",1,"18J606842",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2019-01-01",,1,,,,"2018-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"18J606833",1,501,501,"Y",1,"18J606833",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2019-01-01",,1,,,,"2018-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088108",1,501,501,"Y",1,"19M088108",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2019-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088398",1,501,501,"Y",1,"19M088398",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2019-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088399",1,501,501,"Y",1,"19M088399",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2019-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088413",1,501,501,"Y",1,"19M088413",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2020-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088412",1,501,501,"Y",1,"19M088412",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2020-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"20M931838",1,501,501,"Y",1,"20M931838",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2020-01-01",,1,,,,"2020-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"20P086474",1,501,501,"Y",1,"20P086474",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2020-01-01",,1,,,,"2020-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"20P086436",1,501,501,"Y",1,"20P086436",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2020-01-01",,1,,,,"2020-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710456",1,501,501,"Y",1,"21P710456",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710455",1,501,501,"Y",1,"21P710455",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21T645472",1,501,501,"Y",1,"21T645472",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710437",1,501,501,"Y",1,"21P710437",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938560",1,501,501,"Y",1,"21P938560",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053496",1,501,501,"Y",1,"22W053496",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053503",1,501,501,"Y",1,"22W053503",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938750",1,501,501,"Y",1,"21P938750",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053500",1,501,501,"Y",1,"22W053500",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"BGB01186",1,501,501,"Y",1,"08K661465",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2009-01-01",,1,,,,"2008-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053502",1,501,501,"Y",1,"22W053502",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938763",1,501,501,"Y",1,"21P938763",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053580",1,501,501,"Y",1,"22W053580",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W490344",1,501,501,"Y",1,"22W490344",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053497",1,501,501,"Y",1,"22W053497",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938737",1,501,501,"Y",1,"21P938737",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938732",1,501,501,"Y",1,"21P938732",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053610",1,501,501,"Y",1,"22W053610",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053563",1,501,501,"Y",1,"22W053563",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053557",1,501,501,"Y",1,"22W053557",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938734",1,501,501,"Y",1,"21P938734",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710388",1,501,501,"Y",1,"21P710388",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061537",1,501,501,"Y",1,"22W061537",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053584",1,501,501,"Y",1,"22W053584",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938749",1,501,501,"Y",1,"21P938749",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938755",1,501,501,"Y",1,"21P938755",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053607",1,501,501,"Y",1,"22W053607",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053504",1,501,501,"Y",1,"22W053504",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P744347",1,501,501,"Y",1,"21P744347",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938520",1,501,501,"Y",1,"21P938520",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710386",1,501,501,"Y",1,"21P710386",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W490346",1,501,501,"Y",1,"22W490346",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938717",1,501,501,"Y",1,"21P938717",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053568",1,501,501,"Y",1,"22W053568",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938739",1,501,501,"Y",1,"21P938739",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"BGB01199",1,501,501,"Y",1,"08K661478",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2008-01-01",,1,,,,"2008-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938735",1,501,501,"Y",1,"21P938735",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053488",1,501,501,"Y",1,"22W053488",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938519",1,501,501,"Y",1,"21P938519",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053499",1,501,501,"Y",1,"22W053499",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061535",1,501,501,"Y",1,"22W061535",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053578",1,501,501,"Y",1,"22W053578",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053574",1,501,501,"Y",1,"22W053574",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061563",1,501,501,"Y",1,"22W061563",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"23X592707",1,501,501,"Y",1,"23X592707",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2023-01-01",,1,,,,"2023-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053501",1,501,501,"Y",1,"22W053501",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053489",1,501,501,"Y",1,"22W053489",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294087",1,501,501,"Y",1,"22W294087",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710547",1,501,501,"Y",1,"21P710547",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938748",1,501,501,"Y",1,"21P938748",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938740",1,501,501,"Y",1,"21P938740",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053498",1,501,501,"Y",1,"22W053498",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053571",1,501,501,"Y",1,"22W053571",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710416",1,501,501,"Y",1,"21P710416",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294099",1,501,501,"Y",1,"22W294099",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053508",1,501,501,"Y",1,"22W053508",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938761",1,501,501,"Y",1,"21P938761",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"BGB01192",1,501,501,"Y",1,"08K661471",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2008-01-01",,1,,,,"2008-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053564",1,501,501,"Y",1,"22W053564",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053579",1,501,501,"Y",1,"22W053579",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053562",1,501,501,"Y",1,"22W053562",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053575",1,501,501,"Y",1,"22W053575",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938764",1,501,501,"Y",1,"21P938764",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294007",1,501,501,"Y",1,"22W294007",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938741",1,501,501,"Y",1,"21P938741",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938733",1,501,501,"Y",1,"21P938733",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938765",1,501,501,"Y",1,"21P938765",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053565",1,501,501,"Y",1,"22W053565",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938721",1,501,501,"Y",1,"21P938721",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938722",1,501,501,"Y",1,"21P938722",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938723",1,501,501,"Y",1,"21P938723",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938716",1,501,501,"Y",1,"21P938716",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938719",1,501,501,"Y",1,"21P938719",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938720",1,501,501,"Y",1,"21P938720",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938707",1,501,501,"Y",1,"21P938707",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938718",1,501,501,"Y",1,"21P938718",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938699",1,501,501,"Y",1,"21P938699",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294088",1,501,501,"Y",1,"22W294088",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938694",1,501,501,"Y",1,"21P938694",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710551",1,501,501,"Y",1,"21P710551",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294126",1,501,501,"Y",1,"22W294126",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294089",1,501,501,"Y",1,"22W294089",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W293989",1,501,501,"Y",1,"22W293989",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053601",1,501,501,"Y",1,"22W053601",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"23X592930",1,501,501,"Y",1,"23X592930",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2023-01-01",,1,,,,"2023-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W293985",1,501,501,"Y",1,"22W293985",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053582",1,501,501,"Y",1,"22W053582",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061519",1,501,501,"Y",1,"22W061519",,,,,,,1,2,2,10,4,2,1,,,,2,2,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294125",1,501,501,"Y",1,"22W294125",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053594",1,501,501,"Y",1,"22W053594",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053595",1,501,501,"Y",1,"22W053595",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W490510",1,501,501,"Y",1,"22W490510",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938644",1,501,501,"Y",1,"21P938644",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938645",1,501,501,"Y",1,"21P938645",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938627",1,501,501,"Y",1,"21P938627",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W490343",1,501,501,"Y",1,"22W490343",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294134",1,501,501,"Y",1,"22W294134",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294133",1,501,501,"Y",1,"22W294133",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938630",1,501,501,"Y",1,"21P938630",,,,,,,1,1,1,5,4,2,1,,,,1,1,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"23W914027",1,501,501,"Y",1,"23W914027",,,,,,,1,4,1,10,4,2,1,,,,4,4,0,"2023-01-01",,1,,,,"2023-01-01",,,8,"N","N",,,"Y",0,,,,,
