APPLICATION,DEVICECODE,METERNUMBER,REGISTERNUM,BUILTCONFIG,INSTALLCONFIG,BILLEDFLAG,REGISTERCONFIG,SERIALNUMBER,OTHERDEVICETYPE1,OTHERDEVICEID1,OTHERDEVICEMARRY1,OTHERDEVICETYPE2,OTHERDEVICEID2,OTHERDEVICEMARRY2,METERMAKE,MAKESIZE,METERKIND,METERMODEL,DIALS,DEADZEROES,READTYPE,TESTCIRCLE,AMPS,VOLTS,FLEXFIELD1,FLEXFIELD2,FLEXFIELD3,INITIALINSTALLDATE,CURRENTINSTALLDATE,MULTIPLIER,CTNUMBER,VTNUMBER,PONUMBER,PODATE,PURCHASECOST,RETIREDATE,ASSETTAXDISTRICT,BIDIRECTIONALFLAG,PRIVATELYOWNED,COMMENTS,BATTERYDATE,AMIFLAG,AMITYPE,IPADDRESS,PROBEMETERID,PROBEMETERPASSWORD,PROBEMETERNAME,UPDATEDATE
5,0,"14Y503455",1,0501,0501,"Y",1,"14Y503455",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2016-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"2443289",1,0501,0501,"Y",1,"2443289",,,"Y",,,,2,"12",3,175,5,2,1,,,,12,,0,"2024-01-01",,1,,,,"2024-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"14Y452030",1,0501,0501,"Y",1,"14Y452030",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2017-01-01",,1,,,,"2014-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E646177",1,0501,0501,"Y",1,"16E646177",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2016-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E650064",1,0501,0501,"Y",1,"16E650064",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2017-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E650028",1,0501,0501,"Y",1,"16E650028",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2017-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"16E646086",1,0501,0501,"Y",1,"16E646086",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2018-01-01",,1,,,,"2016-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"17H331688",1,0501,0501,"Y",1,"17H331688",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2018-01-01",,1,,,,"2017-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"17H331687",1,0501,0501,"Y",1,"17H331687",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2018-01-01",,1,,,,"2017-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"18J606842",1,0501,0501,"Y",1,"18J606842",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2019-01-01",,1,,,,"2018-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"18J606833",1,0501,0501,"Y",1,"18J606833",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2019-01-01",,1,,,,"2018-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088108",1,0501,0501,"Y",1,"19M088108",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2019-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088398",1,0501,0501,"Y",1,"19M088398",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2019-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088399",1,0501,0501,"Y",1,"19M088399",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2019-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088413",1,0501,0501,"Y",1,"19M088413",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2020-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"19M088412",1,0501,0501,"Y",1,"19M088412",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2020-01-01",,1,,,,"2019-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"20M931838",1,0501,0501,"Y",1,"20M931838",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2020-01-01",,1,,,,"2020-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"20P086474",1,0501,0501,"Y",1,"20P086474",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2020-01-01",,1,,,,"2020-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"20P086436",1,0501,0501,"Y",1,"20P086436",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2020-01-01",,1,,,,"2020-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710456",1,0501,0501,"Y",1,"21P710456",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710455",1,0501,0501,"Y",1,"21P710455",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21T645472",1,0501,0501,"Y",1,"21T645472",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710437",1,0501,0501,"Y",1,"21P710437",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938560",1,0501,0501,"Y",1,"21P938560",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053496",1,0501,0501,"Y",1,"22W053496",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053503",1,0501,0501,"Y",1,"22W053503",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938750",1,0501,0501,"Y",1,"21P938750",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053500",1,0501,0501,"Y",1,"22W053500",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"BGB01186",1,0501,0501,"Y",1,"08K661465",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2009-01-01",,1,,,,"2008-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053502",1,0501,0501,"Y",1,"22W053502",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938763",1,0501,0501,"Y",1,"21P938763",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053580",1,0501,0501,"Y",1,"22W053580",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W490344",1,0501,0501,"Y",1,"22W490344",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053497",1,0501,0501,"Y",1,"22W053497",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938737",1,0501,0501,"Y",1,"21P938737",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938732",1,0501,0501,"Y",1,"21P938732",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053610",1,0501,0501,"Y",1,"22W053610",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053563",1,0501,0501,"Y",1,"22W053563",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053557",1,0501,0501,"Y",1,"22W053557",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938734",1,0501,0501,"Y",1,"21P938734",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710388",1,0501,0501,"Y",1,"21P710388",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061537",1,0501,0501,"Y",1,"22W061537",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053584",1,0501,0501,"Y",1,"22W053584",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938749",1,0501,0501,"Y",1,"21P938749",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938755",1,0501,0501,"Y",1,"21P938755",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053607",1,0501,0501,"Y",1,"22W053607",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053504",1,0501,0501,"Y",1,"22W053504",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P744347",1,0501,0501,"Y",1,"21P744347",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938520",1,0501,0501,"Y",1,"21P938520",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710386",1,0501,0501,"Y",1,"21P710386",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W490346",1,0501,0501,"Y",1,"22W490346",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938717",1,0501,0501,"Y",1,"21P938717",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053568",1,0501,0501,"Y",1,"22W053568",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938739",1,0501,0501,"Y",1,"21P938739",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"BGB01199",1,0501,0501,"Y",1,"08K661478",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2008-01-01",,1,,,,"2008-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938735",1,0501,0501,"Y",1,"21P938735",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053488",1,0501,0501,"Y",1,"22W053488",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938519",1,0501,0501,"Y",1,"21P938519",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053499",1,0501,0501,"Y",1,"22W053499",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061535",1,0501,0501,"Y",1,"22W061535",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053578",1,0501,0501,"Y",1,"22W053578",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053574",1,0501,0501,"Y",1,"22W053574",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061563",1,0501,0501,"Y",1,"22W061563",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"23X592707",1,0501,0501,"Y",1,"23X592707",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2023-01-01",,1,,,,"2023-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053501",1,0501,0501,"Y",1,"22W053501",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053489",1,0501,0501,"Y",1,"22W053489",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294087",1,0501,0501,"Y",1,"22W294087",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710547",1,0501,0501,"Y",1,"21P710547",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938748",1,0501,0501,"Y",1,"21P938748",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938740",1,0501,0501,"Y",1,"21P938740",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053498",1,0501,0501,"Y",1,"22W053498",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053571",1,0501,0501,"Y",1,"22W053571",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710416",1,0501,0501,"Y",1,"21P710416",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294099",1,0501,0501,"Y",1,"22W294099",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053508",1,0501,0501,"Y",1,"22W053508",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938761",1,0501,0501,"Y",1,"21P938761",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"BGB01192",1,0501,0501,"Y",1,"08K661471",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2008-01-01",,1,,,,"2008-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053564",1,0501,0501,"Y",1,"22W053564",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053579",1,0501,0501,"Y",1,"22W053579",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053562",1,0501,0501,"Y",1,"22W053562",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053575",1,0501,0501,"Y",1,"22W053575",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938764",1,0501,0501,"Y",1,"21P938764",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294007",1,0501,0501,"Y",1,"22W294007",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938741",1,0501,0501,"Y",1,"21P938741",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938733",1,0501,0501,"Y",1,"21P938733",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938765",1,0501,0501,"Y",1,"21P938765",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053565",1,0501,0501,"Y",1,"22W053565",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938721",1,0501,0501,"Y",1,"21P938721",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938722",1,0501,0501,"Y",1,"21P938722",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938723",1,0501,0501,"Y",1,"21P938723",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938716",1,0501,0501,"Y",1,"21P938716",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938719",1,0501,0501,"Y",1,"21P938719",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938720",1,0501,0501,"Y",1,"21P938720",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938707",1,0501,0501,"Y",1,"21P938707",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938718",1,0501,0501,"Y",1,"21P938718",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938699",1,0501,0501,"Y",1,"21P938699",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294088",1,0501,0501,"Y",1,"22W294088",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938694",1,0501,0501,"Y",1,"21P938694",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P710551",1,0501,0501,"Y",1,"21P710551",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294126",1,0501,0501,"Y",1,"22W294126",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294089",1,0501,0501,"Y",1,"22W294089",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W293989",1,0501,0501,"Y",1,"22W293989",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053601",1,0501,0501,"Y",1,"22W053601",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"23X592930",1,0501,0501,"Y",1,"23X592930",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2023-01-01",,1,,,,"2023-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W293985",1,0501,0501,"Y",1,"22W293985",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053582",1,0501,0501,"Y",1,"22W053582",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W061519",1,0501,0501,"Y",1,"22W061519",,,"Y",,,,1,"2",2,10,4,2,1,,,,2,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W294125",1,0501,0501,"Y",1,"22W294125",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053594",1,0501,0501,"Y",1,"22W053594",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W053595",1,0501,0501,"Y",1,"22W053595",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"22W490510",1,0501,0501,"Y",1,"22W490510",,,"Y",,,,1,"4",1,10,4,2,1,,,,4,,0,"2022-01-01",,1,,,,"2022-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938644",1,0501,0501,"Y",1,"21P938644",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
5,0,"21P938645",1,0501,0501,"Y",1,"21P938645",,,"Y",,,,1,"1",1,5,4,2,1,,,,1,,0,"2021-01-01",,1,,,,"2021-01-01",,,8,"N","N",,,"Y",0,,,,,
